Loan_Amount_Term,Credit_History,Self_Employed_No,Income_Ratio,CoapplicantIncome,Gender_Male,Self_Employed_Yes,Loan_Per_Term,ApplicantIncome,Dependents,Property_Area_Semiurban,LoanAmount,Education_Not Graduate,Total_Income,LoanAmount_log,Property_Area_Urban
0.2876109301464364,1.0,1.0,-0.5169069481372325,0.18066741704271502,1.0,0.0,0.5740423907657186,0.08391466429232507,0,1.0,2.1242229438179683,0.0,0.16730205324776656,1.6961023259154038,0.0
0.2876109301464364,1.0,1.0,-0.5171691991918828,0.38543026627184795,1.0,0.0,-0.19023660207052165,-0.4293378969569376,0,1.0,-0.11367375069236606,0.0,-0.2064016662274433,0.09062265059927922,0.0
0.2876109301464364,1.0,1.0,-0.5167444731592844,0.005831445777839988,1.0,0.0,0.26034578922845586,0.1260951837901277,2,1.0,1.2056832557726818,0.0,0.11965170440163822,1.1653568399984715,0.0
0.2876109301464364,1.0,1.0,-0.5172263375257321,0.46418520828305293,1.0,0.0,-0.20734732579073592,-0.5769697151992469,0,1.0,-0.16377591549483622,0.0,-0.3040458236990178,0.037947468690836865,0.0
0.2876109301464364,0.0,1.0,0.14648870800891192,-0.5281270610581298,1.0,0.0,-0.3784545629928792,-0.2255216267435552,0,1.0,-0.6647975635195379,0.0,-0.4707439293344897,-0.5685345074622136,0.0
0.2876109301464364,1.0,1.0,-0.5167347813282246,1.1307670374658918,1.0,0.0,-0.20734732579073592,2.400468795111647,0,0.0,-0.16377591549483622,0.0,2.783540550878145,0.037947468690836865,0.0
0.2876109301464364,1.0,0.0,-0.5170865924868246,0.15420575652695015,1.0,1.0,-0.19594017664392638,-0.36606711771023365,3,1.0,-0.13037447229318944,1.0,-0.26248847027911565,0.07319846397465882,0.0
0.2876109301464364,0.0,1.0,-0.5170521170671974,0.07576583428379001,1.0,0.0,-0.2986045189652124,-0.36066801121451486,2,0.0,-0.43098746110801045,1.0,-0.2963905217532463,-0.26547294534526733,0.0
0.2876109301464364,1.0,1.0,0.06028447713962259,-0.5281270610581298,0.0,0.0,-0.32141881725883154,-0.31680027093680013,0,1.0,-0.497790347511304,0.0,-0.5552647120418845,-0.3480501525605793,0.0
0.2876109301464364,1.0,1.0,0.9976957344483642,-0.5281270610581298,1.0,0.0,0.12916357404014608,0.6757917138854919,0,0.0,0.8215666589537438,0.0,0.3638402134065517,0.9009072884881436,0.0
0.2876109301464364,0.0,1.0,-0.5167431856705779,-0.07764879275403729,1.0,0.0,-0.019129364868378223,-0.03672162147139051,1,1.0,0.38734789733233566,1.0,-0.07251199750242036,0.5598618418917605,0.0
2.0819815362696934,1.0,1.0,-0.5167314435475864,-0.016219937985297406,1.0,0.0,-0.13692418776277127,0.1050049240412264,2,1.0,0.8215666589537438,1.0,0.08918672727050699,0.9009072884881436,0.0
